"Institution","Name","ORCID","ORCID-Link"
"Bielefeld University","Alexander Sczyrba","0000-0002-4405-3847","https://orcid.org/0000-0002-4405-3847"
"Bielefeld University","Jens Stoye","0000-0002-4656-7155","https://orcid.org/0000-0002-4656-7155"
"Bielefeld University","Michael Beckstette","0000-0002-3707-1692","https://orcid.org/0000-0002-3707-1692"
"Bielefeld University","Nils Kleinbölting","0000-0001-9124-5203","https://orcid.org/0000-0001-9124-5203"
"Bielefeld University","Liren Huang","0000-0002-2180-1937","https://orcid.org/0000-0002-2180-1937"
"Bielefeld University","Sebastian Jünemann","0000-0002-3714-0328","https://orcid.org/0000-0002-3714-0328"
"Bielefeld University","Kassian Kobert","",""
"European Molecular Biology Laboratory","Anandhi Iyappan","0000-0002-5571-4962","https://orcid.org/0000-0002-5571-4962"
"European Molecular Biology Laboratory","Peer Bork","0000-0002-2627-833X","https://orcid.org/0000-0002-2627-833X"
"European Molecular Biology Laboratory","Sina Barysch","0009-0009-8131-7627","https://orcid.org/0009-0009-8131-7627"
"European Molecular Biology Laboratory","Sarah Schulz","0000-0001-9504-7431","https://orcid.org/0000-0001-9504-7431"
"European Molecular Biology Laboratory","Daniel Podlesny","0000-0002-5685-0915","https://orcid.org/0000-0002-5685-0915"
"European Molecular Biology Laboratory","Mahdi Robbani","0000-0003-0161-0559","https://orcid.org/0000-0003-0161-0559"
"University of Jena","Noriko Cassman","0000-0003-1655-0931","https://orcid.org/0000-0003-1655-0931"
"University of Jena","Shahram Saghaei","0000-0002-3757-0037","https://orcid.org/0000-0002-3757-0037"
"University of Jena","Sandra Triebel","0000-0001-8999-4395","https://orcid.org/0000-0001-8999-4395"
"University of Jena","Kilian Ossetek","0009-0007-0313-2593","https://orcid.org/0009-0007-0313-2593"
"University of Jena","Manja Marz","0000-0003-4783-8823","https://orcid.org/0000-0003-4783-8823"
"University of Jena","Winfried Göttsch","",""
"Helmholtz Centre for Environmental Research","Anderson Santos","0000-0003-4936-6196","https://orcid.org/0000-0003-4936-6196"
"Helmholtz Centre for Environmental Research","Jonas Kasmanas","0000-0001-6513-5350","https://orcid.org/0000-0001-6513-5350"
"Helmholtz Centre for Environmental Research","Stefanía Magnúsdóttir","",""
"Helmholtz Centre for Environmental Research","Majid Soheilie","",""
"Helmholtz Centre for Environmental Research","Sanchita Kamath","0009-0005-5325-8309","https://orcid.org/0009-0005-5325-8309"
