qid,Len,P31,P496,S854,P108
,Nils Kleinbölting,Q5,0000-0001-9124-5203,https://orcid.org/0000-0001-9124-5203,Q24382
,Sina Barysch,Q5,0009-0009-8131-7627,https://orcid.org/0009-0009-8131-7627,Q695267
,Mahdi Robbani,Q5,0000-0003-0161-0559,https://orcid.org/0000-0003-0161-0559,Q695267
,Noriko Cassman,Q5,0000-0003-1655-0931,https://orcid.org/0000-0003-1655-0931,Q154561
,Shahram Saghaei,Q5,0000-0002-3757-0037,https://orcid.org/0000-0002-3757-0037,Q154561
,Sandra Triebel,Q5,0000-0001-8999-4395,https://orcid.org/0000-0001-8999-4395,Q154561
,Kilian Ossetek,Q5,0009-0007-0313-2593,https://orcid.org/0009-0007-0313-2593,Q154561
,Jonas Kasmanas,Q5,0000-0001-6513-5350,https://orcid.org/0000-0001-6513-5350,Q880999
,Stefanía Magnúsdóttir,Q5,,,Q880999
,Majid Soheilie,Q5,,,Q880999
,Sanchita Kamath,Q5,0009-0005-5325-8309,https://orcid.org/0009-0005-5325-8309,Q880999
,Nathan Ernster,Q5,0009-0000-1799-5268,https://orcid.org/0009-0000-1799-5268,Q880999
,Carmen Paulmann,Q5,0009-0005-9811-5862,https://orcid.org/0009-0005-9811-5862,Q1603242
,Cordula Hege,Q5,0000-0003-0616-5191,https://orcid.org/0000-0003-0616-5191,Q1603242
,Hesham Almessady,Q5,,,Q1603242
,Marius Dieckmann,Q5,0000-0001-5130-546X,https://orcid.org/0000-0001-5130-546X,Q317053
,Jannis Hochmuth,Q5,0009-0004-4382-4760,https://orcid.org/0009-0004-4382-4760,Q317053
,Lukas Brehm,Q5,0009-0008-0887-0015,https://orcid.org/0009-0008-0887-0015,Q317053
,Artur Lissin,Q5,0009-0007-3729-1533,https://orcid.org/0009-0007-3729-1533,Q123345060
,Clemens Thölken,Q5,0000-0003-4328-9193,https://orcid.org/0000-0003-4328-9193,Q1524967
,Michael Vockenhuber,Q5,0009-0006-8111-1723,https://orcid.org/0009-0006-8111-1723,Q1524967
,Nicole Treichel,Q5,0009-0008-2472-5061,https://orcid.org/0009-0008-2472-5061,Q273263
,Maja Magel,Q5,0009-0004-2517-0791,https://orcid.org/0009-0004-2517-0791,Q273263
,Katharina Markus,Q5,0000-0002-9316-8982,https://orcid.org/0000-0002-9316-8982,Q1204536
,Natalie Kurtys,Q5,0009-0001-7836-1274,https://orcid.org/0009-0001-7836-1274,Q1204536
